1,24,3,11,2,6,4,2,3,1,6,24,11,39,13,2174,0,40
1,24,3,6,6,5,6,6,3,1,5,24,6,50,13,0,0,13
1,24,1,1,3,6,4,3,1,1,6,24,1,38,9,0,0,40
1,24,16,1,3,5,7,3,16,1,5,24,1,53,7,0,0,40
2,9,3,3,3,4,2,3,3,2,4,9,3,28,13,0,0,40
2,24,15,6,3,4,4,3,15,2,4,24,6,37,14,0,0,40
2,37,4,10,3,6,6,3,4,2,6,37,10,49,5,0,0,16
1,24,1,6,6,5,7,6,1,1,5,24,6,52,9,0,0,45
2,24,15,3,3,6,3,3,15,2,6,24,3,31,14,14084,0,50
1,24,3,6,3,5,5,3,3,1,5,24,6,42,13,5178,0,40
1,24,5,6,3,5,4,3,5,1,5,24,6,37,10,0,0,80
1,39,3,3,2,5,2,2,3,1,5,39,3,30,13,0,0,40
2,24,3,11,3,1,1,3,3,2,1,24,11,23,13,0,0,30
1,24,6,4,3,6,3,3,6,1,6,24,4,32,12,0,0,50
1,13,14,9,3,5,4,3,14,1,5,13,9,40,11,0,0,40
1,19,8,12,3,5,3,3,8,1,5,19,12,34,4,0,0,45
1,24,1,8,6,1,1,6,1,1,1,24,8,25,9,0,0,35
1,24,1,13,3,2,3,3,1,1,2,24,13,32,9,0,0,40
1,24,16,4,3,5,4,3,16,1,5,24,4,38,7,0,0,50
2,24,15,6,6,2,5,6,15,2,2,24,6,43,14,0,0,45
1,24,7,3,3,5,4,3,7,1,5,24,3,40,16,0,0,60
2,24,1,10,3,2,7,3,1,2,2,24,10,54,9,0,0,20
1,24,4,8,5,5,3,5,4,1,5,24,8,35,5,0,0,40
1,24,16,12,3,5,5,3,16,1,5,24,12,43,7,0,2042,40
2,24,1,14,3,2,8,3,1,2,2,24,14,59,9,0,0,40
1,24,3,14,5,5,8,5,3,1,5,24,14,56,13,0,0,40
1,24,1,9,3,1,1,3,1,1,1,24,9,19,9,0,0,40
1,18,5,7,4,5,7,4,5,1,5,18,7,54,10,0,0,60
1,24,1,6,3,6,4,3,1,1,6,24,6,39,9,0,0,80
1,24,1,9,3,5,6,3,1,1,5,24,9,49,9,0,0,40
